State,Abb.,Chain
Alabama,AL,Chick-fil-A
Alaska,AK,McDonald's
Arizona,AZ,In-N-Out Burger
Arkansas,AR,Chick-fil-A
California,CA,In-N-Out Burger
Colorado,CO,Chick-fil-A
Connecticut,CT,McDonald's
District of Columbia,DC,McDonald's
Delaware,DE,McDonald's
Florida,FL,Chick-fil-A
Georgia,GA,Chick-fil-A
Hawaii,HI,Zippy's Makiki
Idaho,ID,McDonald's
Illinois,IL,Chick-fil-A
Indiana,IN,Chick-fil-A
Iowa,IA,Chick-fil-A
Kansas,KS,McDonald's
Kentucky,KY,Chick-fil-A
Louisiana,LA,Chick-fil-A
Maine,ME,McDonald's
Maryland,MD,Chick-fil-A
Massachusetts,MA,McDonald's
Michigan,MI,McDonald's
Minnesota,MN,Chick-fil-A
Mississippi,MS,Chick-fil-A
Missouri,MO,Chick-fil-A
Montana,MT,McDonald's
Nebraska,NE,Chick-fil-A
Nevada,NV,In-N-Out Burger
New Hampshire,NH,McDonald's
New Jersey,NJ,Wendy's
New Mexico,NM,Sonic Drive-In
New York,NY,In-N-Out Burger
North Carolina,NC,Chick-fil-A
North Dakota,ND,McDonald's
Ohio,OH,Chick-fil-A
Oklahoma,OK,Chick-fil-A
Oregon,OR,Burgerville
Pennsylvania,PA,Chick-fil-A
Rhode Island,RI,McDonald's
South Carolina,SC,Chick-fil-A
South Dakota,SD,McDonald's
Tennessee,TN,Chick-fil-A
Texas,TX,Chick-fil-A
Utah,UT,In-N-Out Burger
Vermont,VT,McDonald's
Virginia,VA,Chick-fil-A
Washington,WA,Dick's Drive-In
West Virginia,WV,Chick-fil-A
Wisconsin,WI,Culver's
Wyoming,WY,McDonald's
